time,temperature,humidity,moisture,vibration,item_type,item_count,rfid_code,weight,scenario,alert,alert_name
2025-12-16 22:48:00,19.574507122951683,49.5139772332907,998.0017960211832,1.0157035720572591,NORMAL,3,N-3-370,12,NORMAL,0,GREEN
2025-12-16 22:48:01,19.479260354824323,46.15566935164475,993.564755670998,1.009818017558556,NORMAL,3,N-3-120,12,NORMAL,0,GREEN
2025-12-16 22:48:02,19.597153280715105,49.73921184021132,997.9783800242584,1.0078747796992686,NORMAL,3,N-3-314,12,NORMAL,0,GREEN
2025-12-16 22:48:03,19.7284544784612,50.7112757176099,1001.3463842322911,1.0054588568221616,NORMAL,3,N-3-472,12,NORMAL,0,GREEN
2025-12-16 22:48:04,19.4648769937915,48.826869806447405,997.3908805626056,1.004590580971232,NORMAL,3,N-3-869,15,NORMAL,0,GREEN
2025-12-16 22:48:05,19.464879456457624,51.75359162511613,997.3247335296312,1.0052475921709836,NORMAL,2,N-2-291,10,NORMAL,0,GREEN
2025-12-16 22:48:06,19.73688192232611,46.45242160179286,991.384066497546,1.0108013799530344,NORMAL,1,N-1-413,5,NORMAL,0,GREEN
2025-12-16 22:48:07,19.615115209372934,45.51069059337716,991.6967926595923,1.0115261750696898,NORMAL,2,N-2-956,10,NORMAL,0,GREEN
2025-12-16 22:48:08,19.429578842109755,44.44255950219144,985.7791578256024,1.0052564278939036,NORMAL,1,N-1-610,5,NORMAL,0,GREEN
2025-12-16 22:48:09,19.581384006537892,50.992088622978365,1010.9966139454956,1.0126851149422285,NORMAL,2,N-2-799,10,NORMAL,0,GREEN
2025-12-16 22:48:10,19.43048734607813,49.30873131270812,987.0490941168696,1.0085508168449495,NORMAL,3,N-3-786,12,NORMAL,0,GREEN
2025-12-16 22:48:11,19.430140536964466,47.88883065817909,991.4567584176328,1.0104403790359566,NORMAL,2,N-2-666,10,NORMAL,0,GREEN
2025-12-16 22:48:12,19.536294340734905,48.55993725263964,991.2527418754464,1.0148366618847662,NORMAL,1,N-1-918,5,NORMAL,0,GREEN
2025-12-16 22:48:13,19.21300796330133,45.74902190540325,1004.1593950155556,1.012690517947597,NORMAL,3,N-3-266,15,NORMAL,0,GREEN
2025-12-16 22:48:14,19.24126232512305,52.89150395923365,994.6404025736638,1.0091944080562825,FRAGILE,2,F-2-415,4,NORMAL,0,GREEN
2025-12-16 22:48:15,19.41565687061385,48.25844236395046,1006.9819365813898,1.0073264233237542,NORMAL,2,N-2-876,7,NORMAL,0,GREEN
2025-12-16 22:48:16,19.34807533194984,48.21878958920978,991.612075006049,1.0035445537960122,NORMAL,2,N-2-439,10,NORMAL,0,GREEN
2025-12-16 22:48:17,19.54713709988929,49.451533247797386,999.2319532977904,1.0078425400422728,NORMAL,3,N-3-527,12,NORMAL,0,GREEN
2025-12-16 22:48:18,19.36379638867182,48.96201846347343,990.317223573922,1.009366609283517,FRAGILE,1,F-1-134,2,NORMAL,0,GREEN
2025-12-16 22:48:19,19.288154444799705,48.44776804855826,1014.1611930221871,1.0070384614185464,NORMAL,2,N-2-661,10,NORMAL,0,GREEN
2025-12-16 22:48:20,19.71984731533823,46.419051089109374,987.499212647764,1.009606229098723,NORMAL,2,N-2-665,10,NORMAL,0,GREEN
2025-12-16 22:48:21,19.46613355492702,48.942936714272,999.4785656818162,1.0102305556488762,NORMAL,2,N-2-576,7,NORMAL,0,GREEN
2025-12-16 22:48:22,19.51012923070319,51.76404899295007,1002.0702150474568,1.0093254320545757,NORMAL,3,N-3-655,12,NORMAL,0,GREEN
2025-12-16 22:48:23,19.286287772067983,50.69084009230996,1000.310392779612,1.0080499922575297,NORMAL,2,N-2-369,10,NORMAL,0,GREEN
2025-12-16 22:48:24,19.418342591321224,51.1863732532788,995.5176987289784,1.0105059640159002,FRAGILE,3,F-3-555,9,NORMAL,0,GREEN
2025-12-16 22:48:25,19.51663838845648,46.97756864713763,995.9614344021326,1.0113258219487082,NORMAL,2,N-2-801,10,NORMAL,0,GREEN
2025-12-16 22:48:26,19.327350963386653,46.02079035948284,997.3504917758328,1.0067288027676715,NORMAL,1,N-1-437,5,NORMAL,0,GREEN
2025-12-16 22:48:27,19.55635470275185,47.7484261598007,995.823983986972,1.0142327971392389,NORMAL,3,N-3-316,12,NORMAL,0,GREEN
2025-12-16 22:48:28,19.40990419651218,48.11144982457739,1004.7110329343592,1.0097042356031471,NORMAL,1,N-1-114,5,NORMAL,0,GREEN
2025-12-16 22:48:29,19.45624593753101,50.1883830369419,1014.6841840127308,1.0100565488688344,NORMAL,1,N-1-938,5,NORMAL,0,GREEN
2025-12-16 22:48:30,19.40974400816559,44.61507074057036,992.5400657199372,1.0121246432697697,FRAGILE,1,F-1-747,2,NORMAL,0,GREEN
2025-12-16 22:48:31,19.77784172767634,51.05910063892123,986.0415761633674,1.0106996483937905,NORMAL,3,N-3-692,12,NORMAL,0,GREEN
2025-12-16 22:48:32,19.49797541628931,47.68398420284202,996.29374361319,1.0128594099017398,NORMAL,3,N-3-478,12,NORMAL,0,GREEN
2025-12-16 22:48:33,19.341343360656616,47.14623786010516,1017.6376747012346,1.0108613724956057,FRAGILE,1,F-1-140,2,NORMAL,0,GREEN
2025-12-16 22:48:34,19.62338173681548,45.97579124947966,990.570603456242,1.0081626878760788,FRAGILE,3,F-3-879,9,NORMAL,0,GREEN
2025-12-16 22:48:35,19.316873452504343,44.69028665626846,1010.1129344435524,1.0110845105756183,NORMAL,2,N-2-602,10,NORMAL,0,GREEN
2025-12-16 22:48:36,19.531329539250716,49.64634116792383,1010.4216065126116,1.006568821378038,NORMAL,3,N-3-904,12,NORMAL,0,GREEN
2025-12-16 22:48:37,19.206049481418034,48.14663593437681,992.571294066336,1.0103256791173296,NORMAL,3,N-3-825,12,NORMAL,0,GREEN
2025-12-16 22:48:38,19.300772092665238,45.42007820051789,1001.5518646334822,1.0099003100280666,NORMAL,3,N-3-838,12,NORMAL,0,GREEN
2025-12-16 22:48:39,19.52952918538037,45.40984245587277,1010.0271729850284,1.0093756494281825,FRAGILE,1,F-1-742,2,NORMAL,0,GREEN
2025-12-16 22:48:40,19.610769986999312,47.32843060141975,993.9669780721,1.009614387465683,NORMAL,1,N-1-602,5,NORMAL,0,GREEN
2025-12-16 22:48:41,19.525705242178496,51.33804305057878,995.3713571191812,1.004354452863507,NORMAL,3,N-3-894,15,NORMAL,0,GREEN
2025-12-16 22:48:42,19.482652757641763,47.48081729727279,992.3465526884108,1.0083538252767772,NORMAL,1,N-1-957,5,NORMAL,0,GREEN
2025-12-16 22:48:43,19.454834445661607,44.993714093763785,988.8819461544572,1.010278534703423,NORMAL,2,N-2-790,10,NORMAL,0,GREEN
2025-12-16 22:48:44,19.278221701444885,47.508513871828114,991.805779639472,1.0104795691759922,FRAGILE,3,F-3-340,9,NORMAL,0,GREEN
2025-12-16 22:48:45,19.392023368740794,47.454552860504656,987.208477865902,1.0069169745772222,NORMAL,1,N-1-833,5,NORMAL,0,GREEN
2025-12-16 22:48:46,19.43090418435603,42.60622671411686,997.2726677460738,1.0137971235225942,NORMAL,1,N-1-848,5,NORMAL,0,GREEN
2025-12-16 22:48:47,19.65856833393284,47.89141026696438,990.8402141515307,1.0074014754553564,NORMAL,3,N-3-135,12,NORMAL,0,GREEN
2025-12-16 22:48:48,19.55154274343527,47.53813093958264,998.870287294326,1.0129083716015803,NORMAL,1,N-1-798,5,NORMAL,0,GREEN
2025-12-16 22:48:49,19.23554397669559,49.392412729626834,984.552834830371,1.011281583085615,NORMAL,3,N-3-677,15,NORMAL,0,GREEN
2025-12-16 22:48:50,19.54861259540922,51.69791218989069,999.6470418577156,1.0080613180704685,NORMAL,2,N-2-745,7,NORMAL,0,GREEN
2025-12-16 22:48:51,19.442237657937557,50.25313005909551,1003.6682316928714,1.0153259326778286,NORMAL,2,N-2-739,7,NORMAL,0,GREEN
2025-12-16 22:48:52,19.398461699954105,47.46222261889034,981.0501148594284,1.0064190895047305,NORMAL,2,N-2-572,10,NORMAL,0,GREEN
2025-12-16 22:48:53,19.59175144332613,45.78694818251666,999.9924525587804,1.01275746252083,FRAGILE,3,F-3-484,9,NORMAL,0,GREEN
2025-12-16 22:48:54,19.654649928374397,53.14671960649972,1006.8213519397864,1.013001746954129,NORMAL,1,N-1-732,5,NORMAL,0,GREEN
2025-12-16 22:48:55,19.63969201786743,48.11843686802898,987.3228718504704,1.00798813937277,FRAGILE,1,F-1-458,2,NORMAL,0,GREEN
2025-12-16 22:48:56,19.374117371516604,48.02785858382589,1010.3805790947016,1.014177395900193,NORMAL,2,N-2-748,10,NORMAL,0,GREEN
